name,domination_number,total_domination_number,connected_domination_number,independence_number,power_domination_number,zero_forcing_number,total_zero_forcing_number,diameter,radius,order,size,independent_domination_number,chromatic_number,matching_number,min_maximal_matching_number,triameter,randic_index,harmonic_index,sum_connectivity_index,min_degree,max_degree,clique_number,residue,annihilation_number,sub_total_domination_number,slater,k_slater_index,vertex_cover_number,k_residual_index,(order - domination_number),(order - total_domination_number),(order - connected_domination_number),(order - power_domination_number),(order - zero_forcing_number),(order - triameter),(order - diameter),(order - radius),(size - triameter),(size - diameter),(size - radius),(order - independent_domination_number),(order - chromatic_number),(order - matching_number),(order - min_maximal_matching_number),(size - matching_number),(size - min_maximal_matching_number),(order - min_degree),(order - max_degree),(order - clique_number),(order - residue),(order - annihilation_number),(order - sub_total_domination_number),(order - slater),(order - k_slater_index),(order - k_residual_index),order_number_of_divisors,order_sum_of_divisors,order_euler_totient,order_sum_of_proper_divisors,order_number_of_prime_factors,order_number_of_distinct_prime_factors,independence_number_of_divisors,independence_sum_of_divisors,independence_euler_totient,independence_sum_of_proper_divisors,independence_number_of_prime_factors,independence_number_of_distinct_prime_factors,matching_number_of_divisors,matching_sum_of_divisors,matching_euler_totient,matching_sum_of_proper_divisors,matching_number_of_prime_factors,matching_number_of_distinct_prime_factors,zero_forcing_number_of_divisors,zero_forcing_sum_of_divisors,zero_forcing_euler_totient,zero_forcing_sum_of_proper_divisors,zero_forcing_number_of_prime_factors,zero_forcing_number_of_distinct_prime_factors,domination_number_of_divisors,domination_sum_of_divisors,domination_euler_totient,domination_sum_of_proper_divisors,domination_number_of_prime_factors,domination_number_of_distinct_prime_factors,min_edge_cover,[(annihilation_number + residue)/ max_degree],[order/ max_degree],[order/ (max_degree + 1)],[order/ (max_degree - 1)],[order/ (max_degree + 2)],(residue + annihilation_number),a connected graph,a connected and bipartite graph,an eulerian graph,a connected and planar graph,a connected and regular graph,a connected and cubic graph,a connected graph which is not K_n,a connected and triangle-free graph,a connected and at-free graph,a tree graph,a connected and chordal graph,a connected and claw-free graph,a connected graph with maximum degree at most 3,a connected graph which is not K_n and has maximum degree at most 3,"a connected, claw-free, and cubic graph","a connected, planar, and cubic graph",a connected and cubic graph which is not K_4,a connected graph with a prime number of vertices,a connected graph with a prime number of edges,a connected graph with a prime independence number,a connected graph with a prime diameter,a connected graph with a prime zero forcing number,a connected graph with a prime total domination number,a connected graph with a prime domination number,a connected graph with a prime residue,a connected graph with a prime matching number,a connected and well-covered graph,a connected graph with diameter at most 3,a connected and planar graph with diameter at most 3,a connected graph with a total domination number equal to the domination number,a connected graph with mobious(d_1) + ... + mobious(d_n) > 0,a connected graph with mobious(d_1) + ... + mobious(d_n) = 0,a connected graph with mobious(d_1) + ... + mobious(d_n) < 0,a connected graph with mobious(order) < 0,a connected graph with mobious(order) > 0,a connected graph with mobious(order) = 0
MathematicaGraph7602.txt,3,4,4,6,2,3,5,4,2,9,8,3,2,3,3,12,4.091422815075581,3.7333333333333334,3.84106044561731,1,3,2,4,6,3,3,1,3,3,6,5,5,7,6,-3,5,7,-4,4,6,6,7,6,6,5,5,8,6,7,5,3,6,6,8,6,3,13,6,4,1,1,4,12,2,6,2,2,2,4,2,1,1,1,2,4,2,1,1,1,2,4,2,1,1,1,6,3.3333333333333335,3.0,2.25,4.5,1.8,10,True,True,False,True,False,False,True,True,False,True,True,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True
MathematicaGraph7616.txt,2,2,2,7,2,5,7,3,2,9,8,4,2,2,1,8,3.5124611797498106,2.7555555555555555,3.3079672816886596,1,5,2,7,7,2,2,1,2,1,7,7,7,7,4,1,6,7,0,5,6,5,7,7,8,6,7,8,4,7,2,2,7,7,8,8,3,13,6,4,1,1,2,8,6,1,1,1,2,3,1,1,1,1,2,6,4,1,1,1,2,3,1,1,1,1,7,2.8,1.8,1.5,2.25,1.2857142857142858,14,True,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,False,False,False,False,True
G6.txt,1,2,1,2,1,2,2,2,1,4,4,1,3,2,1,5,1.893846850117352,1.8,1.8944271909999157,1,3,3,2,2,2,1,1,2,1,3,2,3,3,2,-1,2,3,-1,2,3,3,1,2,3,2,3,3,1,1,2,2,2,3,3,3,3,7,2,3,1,1,2,3,1,1,1,1,2,3,1,1,1,1,2,3,1,1,1,1,1,1,1,0,0,0,2,1.3333333333333333,1.3333333333333333,1.0,2.0,0.8,4,True,False,False,True,False,False,True,False,True,False,True,True,True,True,False,False,False,False,False,True,True,True,True,False,True,True,False,True,True,False,False,False,True,False,False,True
MathematicaGraph3504.txt,4,8,8,6,2,2,4,7,4,12,11,4,2,6,4,18,5.794753619934975,5.6,5.506503749222198,1,3,2,5,7,5,4,1,6,2,8,4,4,10,10,-6,5,8,-7,4,7,8,10,6,8,5,7,11,9,10,7,5,7,8,11,10,6,28,4,16,2,2,4,12,2,6,2,2,4,12,2,6,2,2,2,3,1,1,1,1,3,7,2,3,1,1,6,4.0,4.0,3.0,6.0,2.4,12,True,True,False,True,False,False,True,True,False,True,True,False,True,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True
Ramsey_Cubic.txt,4,6,6,7,2,5,5,5,3,14,20,4,2,7,5,10,6.9663264951887856,6.933333333333334,8.320827029421642,2,3,2,4,7,5,4,1,7,3,10,8,8,12,9,4,9,11,10,15,17,10,12,7,9,13,15,12,11,12,10,7,9,10,13,11,4,24,6,10,2,2,2,8,6,1,1,1,2,8,6,1,1,1,2,6,4,1,1,1,3,7,2,3,1,1,7,3.6666666666666665,4.666666666666667,3.5,7.0,2.8,11,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
Diamond_Necklace3.txt,3,5,7,4,3,5,6,4,4,12,18,3,3,6,4,9,6.0,6.0,7.348469228349535,3,3,3,3,6,4,3,1,8,2,9,7,5,9,7,3,8,8,9,14,14,9,9,6,8,12,14,9,9,9,9,6,8,9,11,10,6,28,4,16,2,2,3,7,2,3,1,1,4,12,2,6,2,2,2,6,4,1,1,1,2,4,2,1,1,1,6,3.0,4.0,3.0,6.0,2.4,9,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,True
MathematicaGraph7574.txt,3,4,6,5,1,2,3,7,4,9,8,3,2,4,3,16,4.2700556100296625,4.066666666666666,4.024563864689584,1,3,2,4,5,4,3,1,4,2,6,5,3,8,7,-7,2,5,-8,1,4,6,7,5,6,4,5,8,6,7,5,4,5,6,8,7,3,13,6,4,1,1,2,6,4,1,1,1,3,7,2,3,1,1,2,3,1,1,1,1,2,4,2,1,1,1,5,3.0,3.0,2.25,4.5,1.8,9,True,True,False,True,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True
MathematicaGraph7560.txt,3,4,4,5,2,2,4,5,3,8,7,3,2,3,2,12,3.6807392125526213,3.4,3.4328121551534467,1,3,2,4,5,3,2,2,3,2,5,4,4,6,6,-4,3,5,-5,2,4,5,6,5,6,4,5,7,5,6,4,3,5,6,6,6,4,15,4,7,1,1,2,6,4,1,1,1,2,4,2,1,1,1,2,3,1,1,1,1,2,4,2,1,1,1,5,3.0,2.6666666666666665,2.0,4.0,1.6,9,True,True,False,True,False,False,True,True,True,True,True,False,True,True,False,False,False,False,True,True,True,True,False,True,False,True,False,False,False,False,False,True,False,False,False,True
MathematicaGraph2430.txt,3,4,4,10,3,7,10,4,2,13,12,3,2,3,3,12,5.366025403784438,4.457142857142857,5.158815778527303,1,4,2,7,10,4,3,1,3,4,10,9,9,10,6,1,9,11,0,8,10,10,11,10,10,9,9,12,9,11,6,3,9,10,12,9,2,14,12,1,1,1,4,18,4,8,2,2,2,4,2,1,1,1,2,8,6,1,1,1,2,4,2,1,1,1,10,4.25,3.25,2.6,4.333333333333333,2.1666666666666665,17,True,True,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,True,False,False,True,False,False
MathematicaGraph7548.txt,2,2,2,5,1,4,5,3,2,7,6,2,2,2,1,8,2.812188929203217,2.2857142857142856,2.5883079040543056,1,5,2,5,5,2,2,1,2,1,5,5,5,6,3,-1,4,5,-2,3,4,5,5,5,6,4,5,6,2,5,2,2,5,5,6,6,2,8,6,1,1,1,2,6,4,1,1,1,2,3,1,1,1,1,3,7,2,3,1,1,2,3,1,1,1,1,5,2.0,1.4,1.1666666666666667,1.75,1.0,10,True,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,True,True,False,True,True,True,True,False,True,True,True,True,False,False,True,False,False
G22.txt,1,2,1,3,1,3,3,2,1,5,7,1,3,2,1,6,2.3713203435596424,2.25,2.8030431333764523,2,4,3,3,3,2,1,1,2,1,4,3,4,4,2,-1,3,4,1,5,6,4,2,3,4,5,6,3,1,2,2,2,3,4,4,4,2,6,4,1,1,1,2,4,2,1,1,1,2,3,1,1,1,1,2,4,2,1,1,1,1,1,1,0,0,0,3,1.5,1.25,1.0,1.6666666666666667,0.8333333333333334,6,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,True,True,True,True,True,False,True,True,False,True,True,False,False,False,True,True,False,False
G36.txt,4,6,7,5,1,2,3,7,4,10,9,4,2,5,3,18,4.846065214951231,4.7,4.573691594068752,1,3,2,4,6,5,3,2,5,2,6,4,3,9,8,-8,3,6,-9,2,5,6,8,5,7,4,6,9,7,8,6,4,5,7,8,8,4,18,4,8,2,2,2,6,4,1,1,1,2,6,4,1,1,1,2,3,1,1,1,1,3,7,2,3,1,1,5,3.3333333333333335,3.3333333333333335,2.5,5.0,2.0,10,True,True,False,True,False,False,True,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False
MathematicaGraph6037.txt,5,8,12,7,1,1,2,13,7,14,13,5,2,7,5,26,6.914213562373095,6.833333333333333,6.6547005383792515,1,2,2,5,7,7,5,1,7,2,9,6,2,13,13,-12,1,7,-13,0,6,9,12,7,9,6,8,13,12,12,9,7,7,9,13,12,4,24,6,10,2,2,2,8,6,1,1,1,2,8,6,1,1,1,1,1,1,0,0,0,2,6,4,1,1,1,7,6.0,7.0,4.666666666666667,14.0,3.5,12,True,True,False,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,False,False,False,False,True,False,True,False
MathematicaGraph2537.txt,2,2,2,4,1,3,4,3,2,6,5,2,2,2,1,8,2.560660171779821,2.2,2.3272393461533625,1,4,2,4,4,2,2,1,2,1,4,4,4,5,3,-2,3,4,-3,2,3,4,4,4,5,3,4,5,2,4,2,2,4,4,5,5,4,12,2,6,2,2,3,7,2,3,1,1,2,3,1,1,1,1,2,4,2,1,1,1,2,3,1,1,1,1,4,2.0,1.5,1.2,2.0,1.0,8,True,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,False,True,False,True,True,True,True,False,False,False,True,False
T17.txt,1,2,1,2,1,3,3,2,1,7,15,1,4,3,3,5,3.4329764226088693,3.3683982683982685,5.014741714411043,3,6,4,2,4,2,1,1,5,1,6,5,6,6,4,2,5,6,10,13,14,6,3,4,4,12,12,4,1,3,5,3,5,6,6,6,2,8,6,1,1,1,2,3,1,1,1,1,2,4,2,1,1,1,2,4,2,1,1,1,1,1,1,0,0,0,4,1.0,1.1666666666666667,1.0,1.4,0.875,6,True,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,True,True,True,True,False,True,True,False,True,True,False,False,False,True,True,False,False
cubic13.txt,3,4,4,4,2,4,5,4,2,10,15,3,3,5,3,9,5.0,5.0,6.123724356957946,3,3,3,3,5,4,3,1,6,2,7,6,6,8,6,1,6,8,6,11,13,7,7,5,7,10,12,7,7,7,7,5,6,7,9,8,4,18,4,8,2,2,3,7,2,3,1,1,2,6,4,1,1,1,3,7,2,3,1,1,2,4,2,1,1,1,5,2.6666666666666665,3.3333333333333335,2.5,5.0,2.0,8,True,False,False,True,True,True,True,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,True,False
cubic5.txt,2,3,3,3,1,3,3,3,2,8,12,2,3,4,3,6,4.0,4.0,4.898979485566357,3,3,3,2,4,3,2,1,5,2,6,5,5,7,5,2,5,6,6,9,10,6,5,4,5,8,9,5,5,5,6,4,5,6,7,6,4,15,4,7,1,1,2,4,2,1,1,1,3,7,2,3,1,1,2,4,2,1,1,1,2,3,1,1,1,1,4,2.0,2.6666666666666665,2.0,4.0,1.6,6,True,False,False,True,True,True,True,False,False,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True,False,False,True,True,False,False,False,True,False,False,True
